iter	RMSE
361	4.339488444
362	4.337562841
363	4.334628833
364	4.331322248
365	4.326773229
366	4.318814988
367	4.310716943
368	4.307235855
369	4.301032755
370	4.296928561
371	4.294987012
372	4.289703764
373	4.288410561
374	4.282087541
375	4.275715484
376	4.269405078
377	4.266907322
378	4.263903513
379	4.261119684
380	4.257575229
381	4.256003834
382	4.249540639
383	4.246194369
384	4.245642295
385	4.2405968
386	4.235991379
387	4.22991173
388	4.227194308
389	4.221876847
390	4.219645371
391	4.214494252
392	4.209490501
393	4.201111974
394	4.19537314
395	4.194230981
396	4.189956332
397	4.187060138
398	4.184185283
399	4.17968892
400	4.179142402
401	4.173999257
402	4.169861389
403	4.161073697
404	4.155867806
405	4.14875727
406	4.144699715
407	4.141506789
408	4.139725013
409	4.134889934
410	4.128773964
411	4.125301097
412	4.123594124
413	4.120548537
414	4.117476645
415	4.113645022
416	4.110668044
417	4.106277214
418	4.103540241
419	4.099669764
420	4.0957144
421	4.088872769
422	4.087402664
423	4.08367664
424	4.079695854
425	4.078862627
426	4.072403444
427	4.070749084
428	4.067706388
429	4.065346328
430	4.060705819
431	4.056476542
432	4.053908748
433	4.047477305
434	4.043835222
435	4.037326398
436	4.035758914
437	4.031010872
438	4.028159163
439	4.024518922
440	4.022877854
441	4.021074517
442	4.016528124
443	4.0130437
444	4.008573387
445	4.004126704
446	4.001488599
447	3.999949986
448	3.996983671
449	3.993451705
450	3.987407712
451	3.984891273
452	3.980777183
453	3.975834027
454	3.971827992
455	3.970409717
456	3.96716168
457	3.962216454
458	3.959807996
459	3.957364802
460	3.954262743
461	3.951640762
462	3.947370277
463	3.944362604
464	3.942619851
465	3.938070688
466	3.933029303
467	3.930324841
468	3.926881777
469	3.92465616
470	3.92148179
471	3.91607115
472	3.910204565
473	3.90588476
474	3.905466193
475	3.903357243
476	3.900991434
477	3.896904903
478	3.894752233
479	3.892605126
480	3.889087822
481	3.886116427
482	3.884381719
483	3.879615349
484	3.876731103
485	3.875015145
486	3.870064348
487	3.868324405
488	3.865359967
489	3.860039002
490	3.855804287
491	3.850925285
492	3.849231329
493	3.844891012
494	3.840991335
495	3.837352297
496	3.836198477
497	3.832952036
498	3.830133906
499	3.826852094
